:Product: Dourbes_iono.txt
:Issued: 2016 Jun 21 0055 UTC
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Units for foF2, MUF(D), foEs, foE, fMUF, foF1, fxI & fbEs = MHz
# Units for yF2, D, hmE, h'F, h' & hmF2 = km
# Units for TEC = 10^16 el/m^2  
# Missing data: -1.0,-1,-1.00
#
#       Real-Time Ionosonde Data
#       Dourbes N50E005 Institute Royal Meteorologique-DGS-256
# 
# UT Date   Time
# YR MO DA  HHMM    foF2 hmF2 MUF(D) D  h'F yF2 fMUF  h'  fxI foF1  foE hmE foEs fbEs  ITEC
#-------------------------------------------------------------------------------------------
2016 06 20  0000     4.5 250  2.98   -1 250  89  4.0 348  5.2 -1.0 -1.0  -1  2.2  1.7   5.1
2016 06 20  0005     4.5 255  2.99   -1 255  74  4.1 361  5.2 -1.0 -1.0  -1  2.3  1.8   4.1
2016 06 20  0010     4.5 254  2.99   -1 254  66  4.3 396  5.2 -1.0 -1.0  -1  2.1  1.7   3.6
2016 06 20  0015     4.6 259  2.94   -1 259  81  4.2 366  5.2 -1.0 -1.0  -1  2.3  1.8   4.7
2016 06 20  0020     4.6 258  2.97   -1 258  72  4.2 365  5.3 -1.0 -1.0  -1  2.4  1.7   4.2
2016 06 20  0025     4.4 257  3.08   -1 257  62  4.0 348  5.2 -1.0 -1.0  -1  2.5  1.8   3.3
2016 06 20  0030     4.5 254  3.04   -1 254  72  4.2 358  5.2 -1.0 -1.0  -1  2.6  1.8   4.0
2016 06 20  0035     4.5 266  3.02   -1 266  71  4.2 355  5.2 -1.0 -1.0  -1  2.8  2.3   4.1
2016 06 20  0040     4.4 256  3.11   -1 256  64  4.0 342  5.2 -1.0 -1.0  -1  3.1  2.0   3.4
2016 06 20  0045     4.5 253  3.09   -1 253  66  4.0 333  5.2 -1.0 -1.0  -1  3.0  1.9   3.6
2016 06 20  0050     4.4 247  3.11   -1 247  64  4.1 349  5.2 -1.0 -1.0  -1  3.5  1.6   3.4
2016 06 20  0055     4.5 247  3.01   -1 247  85  3.9 332  5.2 -1.0 -1.0  -1  3.5  1.7   4.6
2016 06 20  0100     4.3 261  3.12   -1 261  65  4.0 341  5.0 -1.0 -1.0  -1  3.5  2.3   3.4
2016 06 20  0105     4.3 282  3.08   -1 282  86  3.9 341  5.0 -1.0 -1.0  -1  3.1  2.9   4.4
2016 06 20  0110     4.2 282  3.08   -1 282  70  3.8 338  5.8 -1.0 -1.0  -1  3.8  2.9   3.5
2016 06 20  0115     4.2 284  3.07   -1 284  88  3.9 348  5.0 -1.0 -1.0  -1  4.2  2.9   4.3
2016 06 20  0120     4.1 287  3.14   -1 287  54  3.9 357  4.9 -1.0 -1.0  -1  4.1  2.9   2.6
2016 06 20  0125     4.2 345  3.04   -1 345  65  3.8 345  4.8 -1.0 -1.0  -1  4.0  3.8   3.1
2016 06 20  0130     4.0 344  3.06   -1 344  63  3.7 347  4.6 -1.0 -1.0  -1  4.0  3.5   2.9
2016 06 20  0135     4.2 317  2.91   -1 317  75  3.6 347  4.8 -1.0 -1.0  -1  4.0  3.3   3.6
2016 06 20  0140     4.0 302  3.06   -1 302  67  3.6 348  4.8 -1.0 -1.0  -1  3.5  3.0   3.0
2016 06 20  0145     3.9 271  3.06   -1 271  64  3.6 356  4.7 -1.0 -1.0  -1  3.0  2.2   2.7
2016 06 20  0150     3.9 262  3.21   -1 262  51  3.7 341  4.7 -1.0 -1.0  -1  2.5  1.9   2.2
2016 06 20  0155     3.9 273  3.07   -1 273  69  3.6 352  4.6 -1.0 -1.0  -1  2.5  2.2   3.0
2016 06 20  0200     3.9 256  3.03   -1 256  78  3.6 360  4.5 -1.0 -1.0  -1  2.5  1.6   3.3
2016 06 20  0205     3.9 251  3.03   -1 251  74  3.5 335  4.6 -1.0 -1.0  -1  2.6  1.6   3.2
2016 06 20  0210     3.9 248  3.13   -1 248  65  3.7 356  4.5 -1.0 -1.0  -1  2.3  1.7   2.8
2016 06 20  0215     3.9 249  3.01   -1 249  75  3.5 354  4.5 -1.0 -1.0  -1  2.0 -1.0   3.1
2016 06 20  0220     3.9 246  3.09   -1 246  67  3.6 366  4.5 -1.0 -1.0  -1  2.0 -1.0   2.8
2016 06 20  0225     3.9 251  3.05   -1 251  72  3.6 365  4.5 -1.0 -1.0  -1  2.4  1.6   3.1
2016 06 20  0230     3.9 259  3.06   -1 259  73  3.5 346  4.7 -1.0 -1.0  -1  2.5  1.8   3.1
2016 06 20  0235     3.9 262  3.01   -1 262  84  3.6 364  4.5 -1.0 -1.0  -1  2.6  1.6   3.7
2016 06 20  0240     3.9 254  3.07   -1 254  72  3.6 360  4.5 -1.0 -1.0  -1  2.8  1.6   3.1
2016 06 20  0245     4.0 261  3.09   -1 261  69  3.7 358  4.7 -1.0 -1.0  -1  2.1  1.7   3.1
2016 06 20  0250     4.0 266  3.03   -1 266  83  3.6 353  4.6 -1.0 -1.0  -1  2.2  1.9   3.8
2016 06 20  0255     4.0 261  3.10   -1 261  78  3.6 346  4.7 -1.0 -1.0  -1  2.3  1.8   3.6
2016 06 20  0300     3.9 258  3.19   -1 258  62  3.7 346  4.8 -1.0 -1.0  -1  2.5  1.8   2.8
2016 06 20  0305     4.0 261  3.17   -1 261  65  3.8 350  4.8 -1.0 -1.0  -1  2.4  1.7   3.0
2016 06 20  0310     3.9 259  3.21   -1 259  64  3.7 343  4.7 -1.0 -1.0  -1  2.4  1.7   3.0
2016 06 20  0315     4.1 261  3.06   -1 261  94  3.6 333  4.8 -1.0 -1.0  -1  2.4  1.7   4.7
2016 06 20  0320     4.1 261  3.23   -1 261  59  4.0 347  4.8 -1.0 -1.0  -1  2.4  1.8   3.1
2016 06 20  0325     4.1 261  3.13   -1 261  73  3.9 349  4.8 -1.0 -1.0  -1  2.4  1.9   3.8
2016 06 20  0330     4.2 269  3.14   -1 269  85  3.9 343  4.8 -1.0  1.3 102  2.8  2.5   4.4
2016 06 20  0335     4.2 268  3.05   -1 268 112  3.8 342  4.8 -1.0  1.5 103  3.1  2.7   5.7
2016 06 20  0340     4.2 319  3.07   -1 319  99  3.9 347  4.9 -1.0  1.5 107  3.5 -1.0   5.2
2016 06 20  0345     4.2 286  3.12   -1 286  80  3.9 337  5.0 -1.0 -1.0  -1  3.9  3.0   4.3
2016 06 20  0350     4.4 291  3.21   -1 291  75  4.0 326  5.0 -1.0  1.4 104  3.9  3.2   4.5
2016 06 20  0355     4.5 225  3.20   -1 225  95  4.1 321  5.2 -1.0  1.8 107  3.6 -1.0   6.1
2016 06 20  0400     4.7 281  3.18   -1 281  95  4.2 326  5.2 -1.0  1.8 103  3.5  3.4   6.3
2016 06 20  0405     4.8 266  3.29   -1 234  87  4.5 321  5.3  2.9  1.9  98  3.1 -1.0   6.2
2016 06 20  0410     4.9 241  3.26   -1 241  96  4.4 303  5.5 -1.0  1.9 102  2.1 -1.0   7.2
2016 06 20  0415     5.1 250  3.19   -1 250 103  4.5 310  5.5 -1.0  1.9 115  1.9 -1.0   8.1
2016 06 20  0420     5.2 243  3.22   -1 243 102  4.7 318  5.8 -1.0  1.8 106  2.0 -1.0   8.2
2016 06 20  0425     5.3 240  3.12   -1 240  98  4.5 296  6.2 -1.0  2.0 109  1.9 -1.0   8.1
2016 06 20  0430     5.0 239  3.26   -1 239 119  4.4 297  5.7 -1.0  2.1 116  2.5 -1.0   8.8
2016 06 20  0435     5.1 234  3.19   -1 234 113  4.4 293  5.7 -1.0  2.2 114  2.8 -1.0   8.8
2016 06 20  0440     5.1 231  3.23   -1 231  84  4.8 328  5.8 -1.0  2.0 105  2.4  2.3   6.8
2016 06 20  0445     5.1 227  3.31   -1 227  77  4.7 308  5.8 -1.0  2.0 102  2.4 -1.0   6.5
2016 06 20  0450     5.2 219  3.38   -1 219  70  4.8 303  6.0 -1.0  1.9 102  2.8  2.5   6.1
2016 06 20  0455     5.2 221  3.25   -1 221  65  4.9 326  6.0 -1.0  1.9 100  2.8  2.2   5.7
2016 06 20  0500     5.5 219  3.10   -1 219 116  4.9 326  6.2 -1.0  1.9 102  2.2 -1.0  10.5
2016 06 20  0505     5.5 214  3.17   -1 214  73  5.4 365  6.2 -1.0  2.0 101  3.2  2.9   7.3
2016 06 20  0510     5.8 293  3.30   -1 140  77  5.4 321  6.5  4.2  1.9 102  3.9 -1.0   9.0
2016 06 20  0515     5.8 273  3.41   -1 273  69  5.3 293  6.5 -1.0  2.0 102  4.2  3.9   7.4
2016 06 20  0520     5.8 264  3.48   -1 264  61  5.3 288  6.5 -1.0  2.1 101  4.2  3.8   6.8
2016 06 20  0525     5.7 266  3.42   -1 266  67  5.2 296  6.5 -1.0  2.4 100  4.2 -1.0   6.9
2016 06 20  0530     5.0 511  2.45   -1 511 120  5.0 572  5.7 -1.0  2.3 102  5.0  3.6  11.7
2016 06 20  0535     5.3 139  2.40   -1 139 142  2.7 191  5.8 -1.0  2.4 101  5.0 -1.0  13.3
2016 06 20  0540     5.7 241  3.37   -1 151  -1  5.0 278  6.3  3.8  2.4 100  4.7 -1.0  -1.0
2016 06 20  0545     5.3 238  3.52   -1 142  -1  4.8 273  6.2  3.5  2.5 100  4.4 -1.0  -1.0
2016 06 20  0550     5.2 246  3.41   -1 246  83  4.8 287  6.0 -1.0  2.5 100  4.2  3.5   8.2
2016 06 20  0555     5.0 264  3.45   -1 264  70  4.8 303  5.8 -1.0  2.5 100  3.8 -1.0   5.8
2016 06 20  0600     5.0 235  3.19   -1 235  75  4.9 359  5.8 -1.0  2.6  99  4.0  3.6   6.7
2016 06 20  0605     5.2 331  3.18   -1 260  69  5.0 355  5.9  4.0  2.6  99  4.2  3.8   8.0
2016 06 20  0610     5.2 149  3.12   -1 149  92  5.0 361  5.9 -1.0  2.7  97  4.7 -1.0   8.5
2016 06 20  0615     5.3 329  3.06   -1 329 111  5.0 355  6.0 -1.0  2.7  96  4.5 -1.0   9.8
2016 06 20  0620     5.3 331  3.17   -1 331  90  5.0 353  6.0 -1.0  2.7  99  5.0  4.6   8.1
2016 06 20  0625     5.6 263  3.09   -1 263  85  5.3 371  6.2 -1.0  2.7  99  4.8  3.6   9.3
2016 06 20  0630     5.8 296  3.24   -1 296  91  5.4 330  6.3 -1.0  2.8  97  4.8  4.4   9.6
2016 06 20  0635     5.8 281  3.38   -1 281  67  5.3 302  6.5 -1.0  2.8  97  4.8  4.2   8.0
2016 06 20  0640     5.8 273  3.37   -1 273  78  5.3 300  6.4 -1.0  2.8  99  5.0  4.6   8.4
2016 06 20  0645     5.7 273  3.38   -1 273  63  5.2 293  6.3 -1.0  2.8  98  5.6  4.0   7.8
2016 06 20  0650     5.6 276  3.36   -1 252  85  5.2 306  6.3  4.1  2.8  98  5.1  3.6   9.1
2016 06 20  0655     5.5 281  3.32   -1 151  94  5.2 315  6.3  4.1  2.8  99  3.6 -1.0   9.4
2016 06 20  0700     5.8 293  3.08   -1 204  75  5.0 314  6.3  4.3  2.8  95  3.5  3.2   9.8
2016 06 20  0705     5.8 149  3.24   -1 149  75  5.6 348  6.4 -1.0  2.8  98  3.6 -1.0   9.1
2016 06 20  0710     5.8 302  3.36   -1 286  43  5.6 326  6.4  3.8  2.9  97  3.9  3.3   7.5
2016 06 20  0715     5.7 284  3.38   -1 284  75  5.4 313  6.5 -1.0  3.0  96  4.1  3.9   9.2
2016 06 20  0720     5.7 281  3.47   -1 269  54  5.3 293  6.4  4.4  3.0  97  4.0  3.7   7.7
2016 06 20  0725     5.5 266  3.60   -1 266  55  5.3 282  6.3 -1.0  2.9  97  4.2 -1.0   6.6
2016 06 20  0730     5.5 253  3.56   -1 253  80  5.0 259  6.2 -1.0  3.0  98  4.2 -1.0   7.5
2016 06 20  0735     5.3 248  3.55   -1 248  91  4.7 251  6.7 -1.0  3.0  98  4.2 -1.0   7.7
2016 06 20  0740     5.1 236  3.59   -1 236  73  4.8 272  5.6 -1.0  2.8 100  4.5  4.2   6.0
2016 06 20  0745     5.5 369  3.01   -1 369  99  5.2 384  5.9 -1.0  2.8 101  4.8 -1.0   9.4
2016 06 20  0750     5.3 355  3.06   -1 355 114  4.9 355  5.8 -1.0  3.1  99  4.7 -1.0   9.7
2016 06 20  0755     5.8 344  3.01   -1 344  89  5.5 370  6.3 -1.0  3.1  98  4.5  4.3  12.2
2016 06 20  0800     5.9 327  3.18   -1 195  69  5.6 352  6.4  4.4  3.1  97  3.8  3.6  10.9
2016 06 20  0805     5.9 311  3.25   -1 212  66  5.6 334  6.5  4.1  3.1  97  3.9  3.8  10.1
2016 06 20  0810     5.9 302  3.34   -1 276  49  5.6 320  6.7  4.6  3.1  97 -1.0 -1.0   8.6
2016 06 20  0815     6.0 293  3.40   -1 293  44  5.7 315  7.0 -1.0  3.1  98  4.0 -1.0   8.4
2016 06 20  0820     6.0 287  3.42   -1 287  46  5.6 303  6.7 -1.0  3.2  96  4.8  4.1   8.4
2016 06 20  0825     5.9 289  3.37   -1 289  76  5.5 310  6.8 -1.0  3.2  96  5.2  4.8   8.8
2016 06 20  0830     6.0 291  3.31   -1 291  93  5.5 306  6.5 -1.0  3.2  95  5.3  4.5  10.9
2016 06 20  0835     5.9 292  3.32   -1 189  63  5.5 308  6.7  4.5  3.2  95  4.8  3.6   9.5
2016 06 20  0840     6.0 294  3.24   -1 294  76  5.6 332  6.7 -1.0  3.2  95  5.0  4.2  10.4
2016 06 20  0845     5.8 296  3.32   -1 230  54  5.4 318  6.4  4.5  3.2  96  4.5  3.8   8.7
2016 06 20  0850     5.6 306  3.21   -1 257  89  5.2 335  6.3  4.4  3.2  96  2.9 -1.0  10.1
2016 06 20  0855     5.8 344  3.09   -1 199  81  5.5 369  6.3  4.4  3.2  96  4.5  3.7  11.3
2016 06 20  0900     5.7 324  3.28   -1 181  47  5.5 345  6.7  4.6  3.3  96  2.5 -1.0   9.1
2016 06 20  0905     5.6 296  3.44   -1 239  40  5.5 317  6.2  4.5  3.3  96  3.5 -1.0   7.7
2016 06 20  0910     5.3 297  3.50   -1 223  46  5.2 308  6.2  4.3  3.3  94  3.6 -1.0   6.4
2016 06 20  0915     5.5 163  3.15   -1 163  90  4.0 231  6.5 -1.0  3.3  96  3.5 -1.0   9.1
2016 06 20  0920     5.2 361  3.31   -1 194  67  4.1 229  6.2  4.4  3.3  97  3.5 -1.0   7.8
2016 06 20  0925     5.2 344  3.29   -1 181  63  4.0 222  5.9  4.3  3.2  94 -1.0 -1.0   8.3
2016 06 20  0930     5.4 149  3.20   -1 149 117  4.2 238  6.0 -1.0  3.2  99 -1.0 -1.0  10.4
2016 06 20  0935     5.5 199  3.13   -1 199 200  4.2 235  6.1 -1.0  3.3  97  3.9  3.6  16.9
2016 06 20  0940     5.0 213  3.58   -1 145  97  4.2 222  5.7  3.8  3.1  98  3.9 -1.0   7.3
2016 06 20  0945     5.6 155  3.18   -1 155 106  3.7 181  6.2 -1.0  3.3  95  4.5 -1.0  10.8
2016 06 20  0950     5.8 366  3.02   -1 366  96  5.5 384  6.3 -1.0  3.2  96  5.0  4.8  11.2
2016 06 20  0955     5.8 350  3.08   -1 350  93  5.5 368  6.5 -1.0  3.2  96  5.0  4.8  10.9
2016 06 20  1000     5.9 330  3.17   -1 330  92  5.7 360  6.4 -1.0  3.2  97  5.2 -1.0  10.1
2016 06 20  1005    -1.0  -1 -1.00   -1  -1  -1 -1.0  -1 -1.0 -1.0  3.2  99  5.6 -1.0  -1.0
2016 06 20  1010     6.0 328  3.14   -1 328  99  5.5 344  6.7 -1.0  3.2  97  5.9  5.2  10.8
2016 06 20  1015     6.0 346  3.05   -1 346 107  5.6 361  6.8 -1.0  3.0  96  6.0  5.4  11.7
2016 06 20  1020     4.5 377  3.10   -1 377  78  4.4 390  5.3 -1.0  3.4  92  6.0  4.1   5.4
2016 06 20  1025     6.2 353  2.94   -1 353 104  5.8 388  6.8 -1.0  3.4  95  6.0  4.5  14.2
2016 06 20  1030     6.2 345  3.06   -1 138  86  5.8 368  6.8  4.4  3.2  92  5.8  3.5  12.5
2016 06 20  1035     6.3 339  3.05   -1 191  76  5.9 370  6.9  4.8  3.2  92  5.3  3.6  13.0
2016 06 20  1040     6.3 330  3.10   -1 187  81  6.0 365  7.0  4.4  3.4  93  3.5 -1.0  12.4
2016 06 20  1045     6.3 320  3.18   -1 207  82  6.0 345  7.0  4.2  3.3  92  3.2 -1.0  12.3
2016 06 20  1050     6.4 313  3.21   -1 197  69  6.0 340  7.0  4.8  3.3  92  3.8  3.6  11.9
2016 06 20  1055     6.3 319  3.15   -1 194  80  6.0 351  7.1  4.4  3.0  93  3.8  3.7  12.0
2016 06 20  1100     6.4 327  3.10   -1 188  72  6.0 360  7.1  4.5  3.3  92  3.5 -1.0  12.8
2016 06 20  1105     6.6 319  3.07   -1 181  93  6.0 342  7.2  4.4  3.3  92  3.2 -1.0  15.2
2016 06 20  1110     6.7 318  3.11   -1 179  81  6.2 350  7.3  4.6  3.4  94  3.2 -1.0  14.2
2016 06 20  1115     6.7 315  3.15   -1 182  82  6.2 343  7.4  4.5  3.3  93  3.6 -1.0  13.5
2016 06 20  1120     7.0 306  3.15   -1 177  76  6.3 331  7.5  4.6  3.2  94  3.5 -1.0  14.4
2016 06 20  1125     7.1 297  3.23   -1 277  68  6.6 331  7.7  4.7  3.1  93  3.9 -1.0  13.4
2016 06 20  1130     7.0 288  3.36   -1 288  61  6.6 313  7.7 -1.0  3.1  94  3.9 -1.0  11.8
2016 06 20  1135     7.0 280  3.40   -1 179  64  6.5 303  7.6  4.4  3.0  95  3.9  3.7  12.2
2016 06 20  1140     6.8 241  3.44   -1 241  60  6.5 307  7.5 -1.0  3.1  93  4.0  4.0  10.4
2016 06 20  1145     6.7 222  3.46   -1 222  65  6.3 300  7.3 -1.0  3.0  92  3.9 -1.0  10.4
2016 06 20  1150     6.6 275  3.44   -1 192  71  6.2 298  7.3  5.2  3.4  92  3.7  3.6  11.5
2016 06 20  1155     6.5 276  3.50   -1 211  48  6.1 293  7.2  4.7  3.4  94  3.5 -1.0   9.5
2016 06 20  1200     6.2 272  3.54   -1 189  48  5.9 290  7.0  4.4  3.2  95  3.5 -1.0   8.6
2016 06 20  1205     6.1 275  3.43   -1 191  58  5.6 293  6.8  4.6  3.4  98 -1.0 -1.0   9.3
2016 06 20  1210     5.7 289  3.39   -1 197  56  5.3 300  6.5  4.6  3.3  98 -1.0 -1.0   8.3
2016 06 20  1215     5.6 322  3.22   -1 322  81  5.4 350  6.3 -1.0  3.1  95  3.0 -1.0   9.5
2016 06 20  1220     5.7 189  3.14   -1 189 106  4.2 223  6.4 -1.0  3.4  92  3.5 -1.0  11.4
2016 06 20  1225     5.8 319  3.15   -1 190  95  3.9 191  6.3  4.6  3.2  99  2.7 -1.0  11.9
2016 06 20  1230     5.8 344  3.15   -1 206  76  4.1 213  6.3  4.7  3.4  97  1.9 -1.0  11.2
2016 06 20  1235     5.8 347  3.12   -1 199  86  4.0 204  6.4  4.5  3.2  95  3.5 -1.0  11.9
2016 06 20  1240     5.8 329  3.19   -1 285  62  5.5 355  6.5  4.5  3.4  92  3.7 -1.0   9.9
2016 06 20  1245     5.8 336  3.16   -1 193  70  4.0 202  6.4  4.7  3.4  95  3.6  3.6  10.5
2016 06 20  1250     5.7 337  3.16   -1 191  80  4.2 221  6.4  4.3  3.4  96  3.2 -1.0  10.8
2016 06 20  1255     5.6 312  3.27   -1 199  59  4.2 221  7.0  4.5  3.3  96  3.7  3.5   9.2
2016 06 20  1300     5.5 227  3.17   -1 227 101  4.2 239  6.2 -1.0  3.3  96  3.8 -1.0  10.4
2016 06 20  1305     5.5 187  3.33   -1 187 121  4.2 216  6.0 -1.0  3.3  97  3.6  3.6  11.3
2016 06 20  1310     5.6 356  3.35   -1 189 117  4.1 200  6.2  4.5  3.3 102  3.6 -1.0  12.8
2016 06 20  1315     5.6 336  3.33   -1 185  90  4.0 197  6.2  4.4  3.3  96  3.8  3.7  11.4
2016 06 20  1320     5.7 199  3.20   -1 199 118  4.0 200  6.2 -1.0  3.2  96  4.1  3.9  12.0
2016 06 20  1325     5.7 191  3.17   -1 191 109  4.1 218  6.2 -1.0  3.2 102  3.9  3.6  11.2
2016 06 20  1330     5.9 365  3.12   -1 187  77  4.0 206  6.4  4.9  3.3  95  3.9  3.6  12.2
2016 06 20  1335     5.9 343  3.16   -1 187  73  4.1 203  6.5  4.7  3.3  96  2.5 -1.0  11.8
2016 06 20  1340     6.0 323  3.20   -1 186  -1  5.8 349  6.5  4.5  3.2  93  4.4  3.6  -1.0
2016 06 20  1345     5.9 315  3.25   -1 315  74  5.5 331  6.5 -1.0  3.2  96  6.1  4.5   9.7
2016 06 20  1350     5.9 342  3.25   -1 342  85  5.7 345  7.0 -1.0  3.1  95  7.5  5.7   8.8
2016 06 20  1355    -1.0  -1 -1.00   -1  -1  -1 -1.0  -1 -1.0 -1.0  3.0  97  7.8 -1.0  -1.0
2016 06 20  1400    -1.0  -1 -1.00   -1  -1  -1 -1.0  -1 -1.0 -1.0  3.0  98  6.2 -1.0  -1.0
2016 06 20  1405     5.6 329  3.13   -1 267  71  5.3 354  6.3  4.2  3.0  94  5.0  4.0   9.4
2016 06 20  1410     5.8 342  2.99   -1 342 114  5.3 373  6.4 -1.0  2.9  95  4.4 -1.0  12.1
2016 06 20  1415     5.6 339  3.22   -1 242  55  5.5 361  6.4  4.4  2.9  94  4.2  4.0   8.4
2016 06 20  1420     5.5 203  3.19   -1 203  86  5.3 355  6.0 -1.0  3.1  95  4.0  3.5   9.3
2016 06 20  1425     5.6 215  3.19   -1 215  85  5.3 351  6.2 -1.0  2.8  92  3.5 -1.0   9.0
2016 06 20  1430     5.6 189  3.10   -1 189 143  3.9 211  6.2 -1.0  3.1  95  3.9  3.4  13.3
2016 06 20  1435     5.6 391  3.17   -1 191  72  4.0 210  6.2  4.8  3.2  92  3.2 -1.0  11.4
2016 06 20  1440     5.3 354  3.17   -1 193  66  5.3 374  6.0  3.9  3.1  91  1.6 -1.0   8.2
2016 06 20  1445     5.5 344  3.13   -1 212  63  4.0 222  6.2  4.2  3.2  94  1.7 -1.0   9.5
2016 06 20  1450     5.6 336  3.05   -1 206  83  4.0 225  6.2  4.3  3.2  96  3.1 -1.0  10.8
2016 06 20  1455     5.5 337  3.18   -1 191  65  5.3 358  6.3  3.9  3.2  97 -1.0 -1.0   9.3
2016 06 20  1500     5.7 317  3.23   -1 149  72  5.4 342  6.2  4.2  3.1  95 -1.0 -1.0   9.3
2016 06 20  1505     5.5 314  3.24   -1 144  75  5.2 329  6.2  4.1  3.2  96  3.0 -1.0   8.5
2016 06 20  1510     5.7 316  3.15   -1 189  93  5.2 336  6.3  4.2  3.2  97  3.4 -1.0  10.9
2016 06 20  1515     5.6 327  3.07   -1 189  82  5.1 351  6.4  4.4  3.1  98  3.4 -1.0  10.2
2016 06 20  1520     5.6 236  3.14   -1 236  82  5.5 370  6.3 -1.0  3.0 100  3.2 -1.0   9.4
2016 06 20  1525     5.7 327  3.15   -1 199  91  5.3 348  7.3  4.2  3.0  95 -1.0 -1.0  10.9
2016 06 20  1530     5.7 318  3.23   -1 192  53  5.4 342  6.3  4.2  3.0  96 -1.0 -1.0   8.8
2016 06 20  1535     5.5 317  3.25   -1 196  70  5.3 338  6.3  4.4  3.1  97 -1.0 -1.0   9.0
2016 06 20  1540     5.6 317  3.12   -1 192 104  5.1 335  6.2  4.4  3.0  97  2.9 -1.0  11.4
2016 06 20  1545     5.5 199  3.21   -1 199  89  5.2 340  6.2 -1.0  3.0  96 -1.0 -1.0   9.1
2016 06 20  1550     5.6 306  3.19   -1 194 101  5.2 333  6.2  4.0  3.0  96 -1.0 -1.0  10.7
2016 06 20  1555     5.6 311  3.15   -1 191 103  5.2 340  6.8  4.1  3.0  96  3.0 -1.0  11.2
2016 06 20  1600     5.7 315  3.04   -1 182 103  5.2 350  6.2  4.5  3.0  95 -1.0 -1.0  11.5
2016 06 20  1605     5.7 316  3.15   -1 182  86  5.3 352  6.2  4.2  3.0 100  3.1 -1.0  10.3
2016 06 20  1610     5.6 311  3.18   -1 182  73  5.2 339  6.2  4.5  2.9  95  2.8 -1.0   9.4
2016 06 20  1615     5.6 197  3.23   -1 197  87  5.2 326  6.3 -1.0  2.8 101 -1.0 -1.0   9.4
2016 06 20  1620     5.7 309  3.17   -1 207  91  5.2 337  6.3  4.2  2.6  94 -1.0 -1.0  10.3
2016 06 20  1625     5.6 305  3.28   -1 194  60  5.3 328  6.3  4.2  2.8  94  3.0 -1.0   8.2
2016 06 20  1630     5.7 293  3.28   -1 216  82  5.3 323  6.3  3.7  2.7  99  1.6 -1.0   9.4
2016 06 20  1635     5.7 295  3.24   -1 200  96  5.3 330  6.3  4.3  2.7  96 -1.0 -1.0  10.2
2016 06 20  1640     5.5 293  3.39   -1 217  51  5.3 320  6.2  3.7  2.7  92 -1.0 -1.0   7.0
2016 06 20  1645     5.6 281  3.34   -1 206  78  5.2 312  6.2  4.1  2.7  92  2.4 -1.0   8.5
2016 06 20  1650     5.4 274  3.36   -1 201  65  5.0 307  6.0  4.1  2.6  92  2.5 -1.0   7.2
2016 06 20  1655     5.3 215  3.27   -1 141  -1  4.7 296  6.0  2.9  2.6 101 -1.0 -1.0  -1.0
2016 06 20  1700     5.2 224  3.23   -1 224 111  4.6 296  6.0 -1.0  2.6  92 -1.0 -1.0   9.3
2016 06 20  1705     5.2 226  3.11   -1 202 122  4.3 291  6.3  3.2  2.7  97  2.5 -1.0   9.8
2016 06 20  1710     4.9 192  3.25   -1 192 121  4.0 263  5.5 -1.0  2.5 103 -1.0 -1.0   8.3
