:Data_list: ace_mag_1m.txt
:Created: 2017 Aug 19 1714 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Magnetometer values are in GSM coordinates.
# 
# Units: Bx, By, Bz, Bt in nT
# Units: Latitude  degrees +/-  90.0
# Units: Longitude degrees 0.0 - 360.0
# Status(S): 0 = nominal data, 1 to 8 = bad data record, 9 = no data
# Missing data values: -999.9
# Source: ACE Satellite - Magnetometer
#
#              1-minute averaged Real-time Interplanetary Magnetic Field Values 
# 
#                 Modified Seconds
# UT Date   Time  Julian   of the   ----------------  GSM Coordinates ---------------
# YR MO DA  HHMM    Day      Day    S     Bx      By      Bz      Bt     Lat.   Long.
#------------------------------------------------------------------------------------
2017 08 19  1514   57984   54840    0    -4.2    -1.4     0.3     4.4     3.4   198.3
2017 08 19  1515   57984   54900    0    -4.4    -2.4    -0.8     5.1    -9.4   209.0
2017 08 19  1516   57984   54960    0    -3.4    -3.7    -1.6     5.3   -17.7   227.9
2017 08 19  1517   57984   55020    0    -3.0    -3.3    -0.0     4.5    -0.0   227.3
2017 08 19  1518   57984   55080    0    -3.4    -2.8     0.8     4.5    10.0   220.3
2017 08 19  1519   57984   55140    0    -3.8    -3.8    -2.7     6.0   -26.1   224.7
2017 08 19  1520   57984   55200    0    -3.2    -3.9    -3.6     6.2   -35.4   231.0
2017 08 19  1521   57984   55260    0    -2.6    -3.4    -3.8     5.7   -41.2   233.3
2017 08 19  1522   57984   55320    0    -2.9    -3.3    -3.5     5.6   -38.5   228.1
2017 08 19  1523   57984   55380    0    -3.1    -3.1    -2.5     5.0   -29.8   225.5
2017 08 19  1524   57984   55440    0    -3.7    -3.5    -1.5     5.3   -16.3   223.6
2017 08 19  1525   57984   55500    0    -2.8    -4.1     1.4     5.1    15.5   235.4
2017 08 19  1526   57984   55560    0    -1.0    -4.3     2.2     4.9    26.4   257.4
2017 08 19  1527   57984   55620    0    -0.8    -4.3     1.5     4.6    18.5   259.5
2017 08 19  1528   57984   55680    0    -2.1    -5.1    -0.1     5.5    -0.8   247.1
2017 08 19  1529   57984   55740    0    -1.3    -5.5    -0.3     5.7    -2.6   256.4
2017 08 19  1530   57984   55800    0    -1.6    -5.7    -0.6     6.0    -5.4   254.2
2017 08 19  1531   57984   55860    0    -3.6    -1.9    -4.9     6.4   -50.2   208.3
2017 08 19  1532   57984   55920    0    -3.2    -0.7    -5.3     6.3   -58.0   192.2
2017 08 19  1533   57984   55980    0    -3.5    -0.4    -5.3     6.4   -55.8   187.0
2017 08 19  1534   57984   56040    0    -2.9    -0.6    -5.2     6.0   -59.8   191.2
2017 08 19  1535   57984   56100    0    -1.5    -2.4    -4.2     5.1   -56.7   238.0
2017 08 19  1536   57984   56160    0    -2.2    -2.3    -4.2     5.3   -53.2   226.1
2017 08 19  1537   57984   56220    0    -3.7    -2.5    -3.2     5.5   -35.7   213.6
2017 08 19  1538   57984   56280    0    -2.6    -2.7    -3.9     5.4   -45.9   225.4
2017 08 19  1539   57984   56340    0    -2.9    -2.1    -3.9     5.3   -47.4   216.0
2017 08 19  1540   57984   56400    0    -3.8    -2.2    -3.5     5.6   -38.2   210.2
2017 08 19  1541   57984   56460    0    -2.9    -2.0    -4.5     5.7   -51.9   214.2
2017 08 19  1542   57984   56520    0    -3.3    -1.8    -4.5     5.9   -50.3   209.2
2017 08 19  1543   57984   56580    0    -3.8    -1.2    -3.6     5.4   -42.5   198.0
2017 08 19  1544   57984   56640    0    -4.4     0.7    -3.6     5.7   -38.9   171.2
2017 08 19  1545   57984   56700    0    -4.3     0.6    -3.7     5.7   -40.6   171.4
2017 08 19  1546   57984   56760    0    -4.1     0.1    -3.8     5.6   -42.9   178.6
2017 08 19  1547   57984   56820    0    -3.7     3.2    -2.8     5.6   -30.1   139.1
2017 08 19  1548   57984   56880    0    -4.1     3.4    -2.2     5.8   -22.7   140.8
2017 08 19  1549   57984   56940    0    -4.0     1.1    -3.5     5.4   -40.1   164.9
2017 08 19  1550   57984   57000    0    -3.9    -1.0    -4.1     5.7   -45.2   193.8
2017 08 19  1551   57984   57060    0    -4.2    -0.9    -3.9     5.8   -41.8   191.8
2017 08 19  1552   57984   57120    0    -4.6     0.6    -3.5     5.8   -36.8   172.5
2017 08 19  1553   57984   57180    0    -4.2     1.1    -3.0     5.3   -34.8   165.0
2017 08 19  1554   57984   57240    0    -3.6     1.6    -4.1     5.7   -45.7   155.8
2017 08 19  1555   57984   57300    0    -4.0     2.2    -3.6     5.7   -38.4   151.4
2017 08 19  1556   57984   57360    0    -3.7     2.7    -3.3     5.6   -35.4   144.1
